1,1,0,2.1,-1.01,1,0,8,9,8,0,0,0,0,0,0,0,8,4.39,4.33,.,0
1,2,0,-1.01,1.06,1,0,7,9,8,0,0,0,0,0,0,0,7,4.16,4.12,0,0
1,3,0,0.02,1.32,0.61,0,6,9,8,0,0,0,0,0,0,0,6,4.31,4.3,0,0
1,4,0,3,3,3,1,15,4,-1,1,-1,0,-1,0,0,0,3,6.27,6.36,0,1
1,5,0,3,3,3,1,14,4,-1,1,-1,0,-1,0,0,0,2,6.05,6.16,1,-1
1,6,0,-3,-3,-3,-1,15,8,-1,-1,0,0,0,-1,0,-1,3,2.49,2.31,-1,1
1,7,0,-3,-3,-3,-1,13,8,-1,-1,0,0,0,-1,0,-1,1,2.05,1.84,1,-1
1,8,0,2.46,3,1.01,1,1,1,-1,1,-1,0,1,0,0,0,1,5.91,6.01,-1,1
1,9,0,3,3,3,1,10,3,-1,1,1,-1,0,0,0,0,2,6.24,6.31,1,1
1,10,0,3,3,3,1,6,2,-1,1,1,1,0,0,0,0,2,6.1,6.17,1,1
1,11,0,3,3,3,1,2,1,-1,1,-1,0,1,0,0,0,2,5.89,5.98,1,0
1,12,0,0.03,0.02,-0.01,0,3,9,8,0,0,0,0,0,0,0,3,4.17,4.11,0,0
1,13,0,1.5,2.63,0.08,1,3,1,-1,1,-1,0,1,0,0,0,3,5.71,5.83,0,-1
1,14,0,-2.47,-3,-0.9,-1,16,8,-1,-1,0,0,0,-1,0,-1,4,2.33,2.1,-1,0
1,15,0,2.05,0.01,1.11,0,4,9,8,0,0,0,0,0,0,0,4,4.36,4.36,0,0
1,16,0,1.06,0.01,1.11,1,16,4,-1,1,-1,0,-1,0,0,0,4,5.97,6.07,0,-1
1,17,0,-3,-3,-2.07,-1,9,7,-1,-1,0,0,0,1,-1,0,1,2.3,2.11,-1,1
1,18,0,-3,-3,-2.45,-1,4,5,-1,-1,0,0,0,-1,0,1,4,2.4,2.2,1,1
1,19,0,-3,-3,-3,-1,5,6,-1,-1,0,0,0,1,1,0,1,2.52,2.36,1,1
1,20,0,-2,-2.09,-0.91,-1,2,5,-1,-1,0,0,0,-1,0,1,2,2.48,2.35,1,1
1,21,0,-1.45,-3,-1.37,-1,6,6,-1,-1,0,0,0,1,1,0,2,2.82,2.64,1,1
1,22,0,-1.88,-3,-1.98,-1,8,6,-1,-1,0,0,0,1,1,0,4,2.67,2.48,1,-1
1,23,0,2.08,2.01,2.12,1,8,2,-1,1,1,1,0,0,0,0,4,5.89,5.98,-1,-1
1,24,0,-2.37,-2.2,-1.45,-1,10,7,-1,-1,0,0,0,1,-1,0,2,2.36,2.21,-1,-1
1,25,0,3,3,2.48,1,12,3,-1,1,1,-1,0,0,0,0,4,6.18,6.3,-1,1
1,26,0,2.26,2.26,1.4,1,13,4,-1,1,-1,0,-1,0,0,0,1,5.9,5.94,1,1
1,27,0,2.26,2.26,1.4,1,7,2,-1,1,1,1,0,0,0,0,3,5.82,5.88,1,1
1,28,0,3,-0.01,2.1,1,11,3,-1,1,1,-1,0,0,0,0,3,6.16,6.2,1,0
1,29,0,3,1.07,2.1,0,5,9,8,0,0,0,0,0,0,0,5,4.3,4.25,0,0
1,30,0,2.43,3,1.02,1,4,1,-1,1,-1,0,1,0,0,0,4,5.78,5.81,0,-1
1,31,0,-3,-3,0,-1,3,5,-1,-1,0,0,0,-1,0,1,3,2.12,1.91,-1,1
1,32,0,-3,-3,-3,-1,7,6,-1,-1,0,0,0,1,1,0,3,2.56,2.38,1,0
1,33,0,0,0,0,0,1,9,8,0,0,0,0,0,0,0,1,4.34,4.25,0,0
1,34,0,-3,-3,-1.16,-1,11,7,-1,-1,0,0,0,1,-1,0,3,1.9,1.68,0,-1
1,35,0,3,0.96,3,1,5,2,-1,1,1,1,0,0,0,0,1,6.11,6.17,-1,0
1,36,0,-0.04,0.01,0.04,0,2,9,8,0,0,0,0,0,0,0,2,4.29,4.21,0,0
1,37,0,-1.99,-1,-2.07,-1,12,7,-1,-1,0,0,0,1,-1,0,4,2.79,2.62,0,1
1,38,0,-3,-3,-3,-1,1,5,-1,-1,0,0,0,-1,0,1,1,1.86,1.63,1,-1
1,39,0,3,3,2.97,1,9,3,-1,1,1,-1,0,0,0,0,1,6.03,6.07,-1,-1
1,40,0,-2.1,-1.45,-1.99,-1,14,8,-1,-1,0,0,0,-1,0,-1,2,2.49,2.28,-1,-1
2,1,0,1.9,1.09,1.01,1,12,3,-1,1,1,-1,0,0,0,0,4,6.18,6.3,-1,1
2,2,0,2.21,1.39,1.01,1,9,3,-1,1,1,-1,0,0,0,0,1,6.03,6.07,1,1
2,3,0,2.21,1.39,1.19,1,10,3,-1,1,1,-1,0,0,0,0,2,6.24,6.31,1,1
2,4,0,1.76,1.39,1.19,1,6,2,-1,1,1,1,0,0,0,0,2,6.1,6.17,1,1
2,5,0,1.76,2.15,1.19,1,1,1,-1,1,-1,0,1,0,0,0,1,5.91,6.01,1,0
2,6,0,1.2,1.49,1.61,0,4,9,8,0,0,0,0,0,0,0,4,4.36,4.36,0,0
2,7,0,-0.78,-0.59,-1.89,-1,15,8,-1,-1,0,0,0,-1,0,-1,3,2.49,2.31,0,-1
2,8,0,0.49,0.53,-0.55,1,15,4,-1,1,-1,0,-1,0,0,0,3,6.27,6.36,-1,-1
2,9,0,-1.32,-1.23,-1.19,-1,5,6,-1,-1,0,0,0,1,1,0,1,2.52,2.36,-1,0
2,10,0,0,0.03,0,0,7,9,8,0,0,0,0,0,0,0,7,4.16,4.12,0,0
