1,1,0,2.06,2.53,2.06,1,2,1,-1,1,1,1,0,0,0,0,2,5.89,5.98,.,34.7509994506836
1,2,0,2.1,2.84,2.54,1,13,4,-1,1,1,-1,0,0,0,0,1,5.9,5.94,34.7509994506836,15.7530002593994
1,3,0,-1.74,-1.38,-2.67,-1,8,6,-1,-1,0,0,0,-1,0,1,4,2.67,2.48,15.7530002593994,11.1338996887207
1,4,0,-1.03,-0.36,-1.91,0,3,9,8,0,0,0,0,0,0,0,3,4.17,4.11,11.1338996887207,17.3472003936768
1,5,0,0.01,-0.02,0.02,0,7,9,8,0,0,0,0,0,0,0,7,4.16,4.12,17.3472003936768,18.1375999450684
1,6,0,1.05,1.09,1.06,0,4,9,8,0,0,0,0,0,0,0,4,4.36,4.36,18.1375999450684,8.9379997253418
1,7,0,-1.92,-2.99,-0.53,-1,13,8,-1,-1,0,0,0,1,-1,0,1,2.05,1.84,8.9379997253418,8.8149995803833
1,8,0,0.07,-0.01,-7,0,5,9,8,0,0,0,0,0,0,0,5,4.3,4.25,8.8149995803833,18.8770008087158
1,9,0,0.47,-0.01,-0.07,0,8,9,8,0,0,0,0,0,0,0,8,4.39,4.33,18.8770008087158,26.7789993286133
1,10,0,1.4,1.07,1.82,1,6,2,-1,1,-1,0,1,0,0,0,2,6.1,6.17,26.7789993286133,36.9049987792969
1,11,0,1.77,2.05,2.06,1,14,4,-1,1,1,-1,0,0,0,0,2,6.05,6.16,36.9049987792969,17.0610008239746
1,12,0,-1.55,-1.05,-2.99,-1,6,6,-1,-1,0,0,0,-1,0,1,2,2.82,2.64,17.0610008239746,16.6662006378174
1,13,0,2.47,2.91,2.1,1,1,1,-1,1,1,1,0,0,0,0,1,5.91,6.01,16.6662006378174,14.8931999206543
1,14,0,-0.59,-0.95,-1.24,-1,5,6,-1,-1,0,0,0,-1,0,1,1,2.52,2.36,14.8931999206543,14.3892002105713
1,15,0,2.42,2.81,2.37,1,3,1,-1,1,1,1,0,0,0,0,3,5.71,5.83,14.3892002105713,13.4756002426147
1,16,0,0.7,-0.67,-1.45,-1,10,7,-1,-1,0,0,0,-1,0,-1,2,2.36,2.21,13.4756002426147,13.9004001617432
1,17,0,2.68,2.93,2.91,1,8,2,-1,1,-1,0,1,0,0,0,4,5.89,5.98,13.9004001617432,16.4330997467041
1,18,0,-2.04,-2.64,-1.94,-1,12,7,-1,-1,0,0,0,-1,0,-1,4,2.79,2.62,16.4330997467041,16.12619972229
1,19,0,2.17,2.97,1.47,1,4,1,-1,1,1,1,0,0,0,0,4,5.78,5.81,16.12619972229,13.293999671936
1,20,0,-2.4,-2.23,-2.99,-1,9,7,-1,-1,0,0,0,-1,0,-1,1,2.3,2.11,13.293999671936,4.27799987792969
1,21,0,-2.98,-2.9,-2.99,-1,1,5,-1,-1,0,0,0,1,1,0,1,1.86,1.63,4.27799987792969,7.97940015792847
1,22,0,-0.03,0.03,0.02,0,2,9,8,0,0,0,0,0,0,0,2,4.29,4.21,7.97940015792847,10.2959995269775
1,23,0,-1.82,-2.94,-2.14,-1,4,5,-1,-1,0,0,0,1,1,0,4,2.4,2.2,10.2959995269775,14.6639995574951
1,24,0,2.41,-2.94,-2.14,1,5,2,-1,1,-1,0,1,0,0,0,1,6.11,6.17,14.6639995574951,14.2363004684448
1,25,0,-2.02,-2.5,-2.54,-1,16,8,-1,-1,0,0,0,1,-1,0,4,2.33,2.1,14.2363004684448,14.3993997573853
