ID,t,d0_s1,impr,warm,comp,valence,statval,statnum,statchar,Itemtype,x1,x2,x3,x4,x5,x6,x7,x8,itemnum,Meanval1,Meanval2
2,11,0,1.66,0.77,1.71,neg14,-1,14,INCSS2,8,-1,-1,0,0,0,-1,0,0,2,2.49,2.28
2,12,0,2.59,3,0.06,pos15,1,15,CONS3,4,-1,1,-1,0,0,0,0,0,3,6.27,6.36
2,13,0,-0.02,0.02,-0.01,neut6,0,6,NS6,9,8,0,0,0,0,0,0,0,6,4.31,4.3
2,14,0,-2.34,-0.66,-2.49,neg11,-1,11,LIS3,7,-1,-1,0,0,0,1,-1,-1,3,1.9,1.68
2,15,0,1.83,2.99,0.05,pos4,1,4,KS4,1,-1,1,-1,0,0,0,0,0,4,5.78,5.81
2,16,0,-1.72,-2.99,-1.8,neg1,-1,1,RS1,5,-1,-1,0,0,0,-1,0,0,1,1.86,1.63
2,17,0,-0.07,0.02,0.01,neut2,0,2,NS2,9,8,0,0,0,0,0,0,0,2,4.29,4.21
2,18,0,-0.07,0.02,0.01,neut5,0,5,NS5,9,8,0,0,0,0,0,0,0,5,4.3,4.25
2,19,0,-0.07,0.02,0.01,neut1,0,1,NS1,9,8,0,0,0,0,0,0,0,1,4.34,4.25
2,20,0,-2.47,-2.99,-2.33,neg16,-1,16,INCSS4,8,-1,-1,0,0,0,-1,0,0,4,2.33,2.1
2,21,0,-0.01,-0.01,-0.05,neut4,0,4,NS4,9,8,0,0,0,0,0,0,0,4,4.36,4.36
2,22,0,3,2.96,2.05,pos11,1,11,ITS3,3,-1,1,1,-1,-1,0,0,0,3,6.16,6.2
2,23,0,3,3,3,pos10,1,10,ITS2,3,-1,1,1,-1,-1,0,0,0,2,6.24,6.31
2,24,0,-1.88,3,3,neg9,-1,9,LIS1,7,-1,-1,0,0,0,1,-1,-1,1,2.3,2.11
2,25,0,-2.99,-0.05,-2.99,neg7,-1,7,INCPS3,6,-1,-1,0,0,0,1,1,1,3,2.56,2.38
2,26,0,1.04,3,-0.03,pos3,1,3,KS3,1,-1,1,-1,0,0,0,0,0,3,5.71,5.83
2,27,0,2.64,-0.01,1.29,pos7,1,7,COMS3,2,-1,1,1,1,1,0,0,0,3,5.82,5.88
2,28,0,-0.7,1.38,0,neg2,-1,2,RS2,5,-1,-1,0,0,0,-1,0,0,2,2.48,2.35
2,29,0,1.39,-1.77,0,neut8,0,8,NS8,9,8,0,0,0,0,0,0,0,8,4.39,4.33
2,30,0,-0.95,-2.32,-1.96,neg6,-1,6,INCPS2,6,-1,-1,0,0,0,1,1,1,2,2.82,2.64
2,31,0,3,3,2.09,pos5,1,5,COMS1,2,-1,1,1,1,1,0,0,0,1,6.11,6.17
2,32,0,0.69,-1.27,-0.03,neut3,0,3,NS3,9,8,0,0,0,0,0,0,0,3,4.17,4.11
2,33,0,3,3,-0.03,pos1,1,1,KS1,1,-1,1,-1,0,0,0,0,0,1,5.91,6.01
2,34,0,-1.72,-2.99,-0.03,neg13,-1,13,INCSS1,8,-1,-1,0,0,0,-1,0,0,1,2.05,1.84
2,35,0,1.09,-0.01,1.55,pos6,1,6,COMS2,2,-1,1,1,1,1,0,0,0,2,6.1,6.17
2,36,0,0.02,-1.34,-1.13,neg5,-1,5,INCPS1,6,-1,-1,0,0,0,1,1,1,1,2.52,2.36
2,37,0,3,3,0.5,pos2,1,2,KS2,1,-1,1,-1,0,0,0,0,0,2,5.89,5.98
2,38,0,1.03,1.06,0.57,pos14,1,14,CONS2,4,-1,1,-1,0,0,0,0,0,2,6.05,6.16
2,39,0,-1.67,-2.59,-1.65,neg8,-1,8,INCPS4,6,-1,-1,0,0,0,1,1,1,4,2.67,2.48
2,40,0,-3,-3,-3,neg15,-1,15,INCSS3,8,-1,-1,0,0,0,-1,0,0,3,2.49,2.31
3,1,0,-2.08,-1.05,1.01,neg4,-1,4,RS4,5,-1,-1,0,0,0,-1,0,0,4,2.4,2.2
3,2,0,2.47,3,1.55,pos15,1,15,CONS3,4,-1,1,-1,0,0,0,0,0,3,6.27,6.36
3,3,0,2.06,1.05,1.03,pos9,1,9,ITS1,3,-1,1,1,-1,-1,0,0,0,1,6.03,6.07
3,4,0,-2.99,-2.05,-2.03,neg14,-1,14,INCSS2,8,-1,-1,0,0,0,-1,0,0,2,2.49,2.28
3,5,0,2.03,1.06,-0.04,pos2,1,2,KS2,1,-1,1,-1,0,0,0,0,0,2,5.89,5.98
3,6,0,0.54,-0.55,1.09,neut2,0,2,NS2,9,8,0,0,0,0,0,0,0,2,4.29,4.21
