ID,d0_s1,Pair,Length,Total_IMPR,Total_BEH,BEH1,BEH2,BEH3,BEH4,BEH5,BEH6,BEH7,BEH8,BEH9,BEH10,BEH11,BEH12,BEH13,BEH14,BEH15,BEH16,IMPR1,IMPR2,IMPR3,IMPR4,IMPR5,IMPR6,IMPR7,IMPR8,IMPR9,IMPR10,IMPR11,IMPR12,IMPR13,IMPR14,IMPR15,IMPR16
156,1,9,10,-2.01|-2.01|-1.06|-2.08|-2.08|1.94|1.94|2.31|3.00|.08|,negnegnegnegnegposposposposneut,neg,neg,neg,neg,neg,pos,pos,pos,pos,neut,NA,NA,NA,NA,NA,NA,-2.01,-2.01,-1.06,-2.08,-2.08,1.94,1.94,2.31,3.00,.08,NA,NA,NA,NA,NA,NA
163,1,10,10,.96|-.29|-1.10|-.22|-.22|.02|-.99|.95|.00|-1.06|,negnegnegnegneutposnegposnegneg,neg,neg,neg,neg,neut,pos,neg,pos,neg,neg,NA,NA,NA,NA,NA,NA,.96,-.29,-1.10,-.22,-.22,.02,-.99,.95,.00,-1.06,NA,NA,NA,NA,NA,NA
49,0,10,10,-2.20|-2.20|-3.00|-3.00|-3.00|-2.36|-2.70|-2.43|-2.43|-1.15|,negnegnegnegneutposnegposnegneg,neg,neg,neg,neg,neut,pos,neg,pos,neg,neg,NA,NA,NA,NA,NA,NA,-2.20,-2.20,-3.00,-3.00,-3.00,-2.36,-2.70,-2.43,-2.43,-1.15,NA,NA,NA,NA,NA,NA
173,1,11,10,-2.99|-2.99|-2.99|-2.99|3.00|-2.04|2.08|-2.07|3.00|3.00|,negnegnegnegposnegneutnegpospos,neg,neg,neg,neg,pos,neg,neut,neg,pos,pos,NA,NA,NA,NA,NA,NA,-2.99,-2.99,-2.99,-2.99,3.00,-2.04,2.08,-2.07,3.00,3.00,NA,NA,NA,NA,NA,NA
112,1,11,10,2.06|-2.07|-.19|-.52|1.89|-1.88|1.15|-1.90|2.07|-.34|,negnegnegnegposnegneutnegpospos,neg,neg,neg,neg,pos,neg,neut,neg,pos,pos,NA,NA,NA,NA,NA,NA,2.06,-2.07,-.19,-.52,1.89,-1.88,1.15,-1.90,2.07,-.34,NA,NA,NA,NA,NA,NA
75,0,12,10,-1.00|-1.54|-2.09|-2.47|-1.76|-3.00|-2.10|-2.26|-2.12|-1.88|,negnegnegnegposnegposnegpospos,neg,neg,neg,neg,pos,neg,pos,neg,pos,pos,NA,NA,NA,NA,NA,NA,-1.00,-1.54,-2.09,-2.47,-1.76,-3.00,-2.10,-2.26,-2.12,-1.88,NA,NA,NA,NA,NA,NA
150,1,12,10,-1.00|-2.00|-2.00|-2.50|-2.50|-2.60|-2.00|-2.50|-2.00|.00|,negnegnegnegposnegposnegpospos,neg,neg,neg,neg,pos,neg,pos,neg,pos,pos,NA,NA,NA,NA,NA,NA,-1.00,-2.00,-2.00,-2.50,-2.50,-2.60,-2.00,-2.50,-2.00,.00,NA,NA,NA,NA,NA,NA
61,0,13,10,-2.43|-2.52|-2.65|-2.81|-2.81|-2.81|-2.81|-2.74|-2.84|-2.86|,negnegnegnegposnegposposnegneg,neg,neg,neg,neg,pos,neg,pos,pos,neg,neg,NA,NA,NA,NA,NA,NA,-2.43,-2.52,-2.65,-2.81,-2.81,-2.81,-2.81,-2.74,-2.84,-2.86,NA,NA,NA,NA,NA,NA
83,0,13,10,-3.00|-3.00|-3.00|-1.00|3.00|-3.00|3.00|3.00|-3.00|-3.00|,negnegnegnegposnegposposnegneg,neg,neg,neg,neg,pos,neg,pos,pos,neg,neg,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-3.00,-1.00,3.00,-3.00,3.00,3.00,-3.00,-3.00,NA,NA,NA,NA,NA,NA
164,1,14,10,-3.00|-3.00|-3.00|-3.00|-3.00|-3.00|-3.00|-2.50|-3.00|-2.80|,negnegnegnegposneutnegposnegpos,neg,neg,neg,neg,pos,neut,neg,pos,neg,pos,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-2.50,-3.00,-2.80,NA,NA,NA,NA,NA,NA
174,1,14,10,-2.89|-2.89|-2.89|-2.89|1.04|1.04|-1.06|2.33|2.07|2.92|,negnegnegnegposneutnegposnegpos,neg,neg,neg,neg,pos,neut,neg,pos,neg,pos,NA,NA,NA,NA,NA,NA,-2.89,-2.89,-2.89,-2.89,1.04,1.04,-1.06,2.33,2.07,2.92,NA,NA,NA,NA,NA,NA
89,0,15,10,-3.00|-3.00|-3.00|-3.00|3.00|3.00|-3.00|.00|.00|3.00|,negnegnegnegposposnegneutneutpos,neg,neg,neg,neg,pos,pos,neg,neut,neut,pos,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-3.00,-3.00,3.00,3.00,-3.00,.00,.00,3.00,NA,NA,NA,NA,NA,NA
86,0,15,10,-2.53|-2.53|-2.53|2.41|3.00|-1.67|1.05|-.77|.03|3.00|,negnegnegnegposposnegneutneutpos,neg,neg,neg,neg,pos,pos,neg,neut,neut,pos,NA,NA,NA,NA,NA,NA,-2.53,-2.53,-2.53,2.41,3.00,-1.67,1.05,-.77,.03,3.00,NA,NA,NA,NA,NA,NA
146,1,16,10,-2.98|-2.98|-2.98|-2.98|2.51|2.51|-3.00|2.92|1.90|2.92|,negnegnegnegposposnegpospospos,neg,neg,neg,neg,pos,pos,neg,pos,pos,pos,NA,NA,NA,NA,NA,NA,-2.98,-2.98,-2.98,-2.98,2.51,2.51,-3.00,2.92,1.90,2.92,NA,NA,NA,NA,NA,NA
197,1,16,10,2.19|2.52|2.35|2.18|2.53|2.53|2.34|2.53|2.70|2.70|,negnegnegnegposposnegpospospos,neg,neg,neg,neg,pos,pos,neg,pos,pos,pos,NA,NA,NA,NA,NA,NA,2.19,2.52,2.35,2.18,2.53,2.53,2.34,2.53,2.70,2.70,NA,NA,NA,NA,NA,NA
139,1,17,10,-.79|-1.13|-1.13|-1.13|.03|.35|.35|.35|.35|-2.17|,negnegnegnegposposneutposposneg,neg,neg,neg,neg,pos,pos,neut,pos,pos,neg,NA,NA,NA,NA,NA,NA,-.79,-1.13,-1.13,-1.13,.03,.35,.35,.35,.35,-2.17,NA,NA,NA,NA,NA,NA
142,1,17,10,-.85|-1.09|-1.44|-1.67|-1.28|-.88|-.88|-.36|.53|-.73|,negnegnegnegposposneutposposneg,neg,neg,neg,neg,pos,pos,neut,pos,pos,neg,NA,NA,NA,NA,NA,NA,-.85,-1.09,-1.44,-1.67,-1.28,-.88,-.88,-.36,.53,-.73,NA,NA,NA,NA,NA,NA
132,1,17,10,1.58|.63|-1.97|.97|3.00|1.07|3.00|-.02|-1.08|-1.99|,negnegnegnegposposneutposposneg,neg,neg,neg,neg,pos,pos,neut,pos,pos,neg,NA,NA,NA,NA,NA,NA,1.58,.63,-1.97,.97,3.00,1.07,3.00,-.02,-1.08,-1.99,NA,NA,NA,NA,NA,NA
183,1,18,10,1.88|1.48|1.54|1.98|1.52|1.52|1.52|1.52|2.12|1.19|,negnegnegneutnegnegposnegposneg,neg,neg,neg,neut,neg,neg,pos,neg,pos,neg,NA,NA,NA,NA,NA,NA,1.88,1.48,1.54,1.98,1.52,1.52,1.52,1.52,2.12,1.19,NA,NA,NA,NA,NA,NA
173,1,18,10,-2.04|-2.99|-2.99|-.04|-2.05|-2.99|3.00|-2.99|3.00|-2.99|,negnegnegneutnegnegposnegposneg,neg,neg,neg,neut,neg,neg,pos,neg,pos,neg,NA,NA,NA,NA,NA,NA,-2.04,-2.99,-2.99,-.04,-2.05,-2.99,3.00,-2.99,3.00,-2.99,NA,NA,NA,NA,NA,NA
177,1,19,10,-3.00|-3.00|-2.44|.00|-2.08|-2.51|3.00|2.76|-.62|-3.00|,negnegnegneutnegnegposposnegneg,neg,neg,neg,neut,neg,neg,pos,pos,neg,neg,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-2.44,.00,-2.08,-2.51,3.00,2.76,-.62,-3.00,NA,NA,NA,NA,NA,NA
130,1,19,10,-2.59|-3.00|-3.00|1.49|-2.58|-2.84|3.00|3.00|-2.53|-2.65|,negnegnegneutnegnegposposnegneg,neg,neg,neg,neut,neg,neg,pos,pos,neg,neg,NA,NA,NA,NA,NA,NA,-2.59,-3.00,-3.00,1.49,-2.58,-2.84,3.00,3.00,-2.53,-2.65,NA,NA,NA,NA,NA,NA
5,0,19,10,-3.00|-3.00|-3.00|-3.00|-3.00|-3.00|-3.00|-2.43|-3.00|-3.00|,negnegnegneutnegnegposposnegneg,neg,neg,neg,neut,neg,neg,pos,pos,neg,neg,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-2.43,-3.00,-3.00,NA,NA,NA,NA,NA,NA
201,1,20,10,-.22|-.65|-.85|-.85|-.90|.20|.66|.46|1.36|.86|,negnegnegneutnegneutposnegposneg,neg,neg,neg,neut,neg,neut,pos,neg,pos,neg,NA,NA,NA,NA,NA,NA,-.22,-.65,-.85,-.85,-.90,.20,.66,.46,1.36,.86,NA,NA,NA,NA,NA,NA
110,1,20,10,-2.08|-2.08|-2.08|.02|-2.99|-.12|2.00|-.97|1.07|1.07|,negnegnegneutnegneutposnegposneg,neg,neg,neg,neut,neg,neut,pos,neg,pos,neg,NA,NA,NA,NA,NA,NA,-2.08,-2.08,-2.08,.02,-2.99,-.12,2.00,-.97,1.07,1.07,NA,NA,NA,NA,NA,NA
67,0,21,10,-2.04|-2.04|-2.04|1.60|-3.00|2.03|2.03|2.03|1.06|-3.00|,negnegnegneutnegposposposneutneg,neg,neg,neg,neut,neg,pos,pos,pos,neut,neg,NA,NA,NA,NA,NA,NA,-2.04,-2.04,-2.04,1.60,-3.00,2.03,2.03,2.03,1.06,-3.00,NA,NA,NA,NA,NA,NA
166,1,21,10,-3.00|-3.00|-3.00|-.01|-3.00|1.91|3.00|3.00|.01|-2.19|,negnegnegneutnegposposposneutneg,neg,neg,neg,neut,neg,pos,pos,pos,neut,neg,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-3.00,-.01,-3.00,1.91,3.00,3.00,.01,-2.19,NA,NA,NA,NA,NA,NA
48,0,22,10,-.74|-2.03|.88|-.03|-.03|-.03|2.42|-1.86|1.80|1.80|,negnegnegneutneutnegposnegpospos,neg,neg,neg,neut,neut,neg,pos,neg,pos,pos,NA,NA,NA,NA,NA,NA,-.74,-2.03,.88,-.03,-.03,-.03,2.42,-1.86,1.80,1.80,NA,NA,NA,NA,NA,NA
120,1,22,10,-.82|-2.93|-2.93|.06|.06|-1.62|2.54|-2.09|2.28|2.28|,negnegnegneutneutnegposnegpospos,neg,neg,neg,neut,neut,neg,pos,neg,pos,pos,NA,NA,NA,NA,NA,NA,-.82,-2.93,-2.93,.06,.06,-1.62,2.54,-2.09,2.28,2.28,NA,NA,NA,NA,NA,NA
16,0,23,10,.00|-2.99|-2.01|-.06|3.00|-2.01|3.00|-1.00|-3.00|-3.00|,negnegnegneutposnegposnegnegneg,neg,neg,neg,neut,pos,neg,pos,neg,neg,neg,NA,NA,NA,NA,NA,NA,.00,-2.99,-2.01,-.06,3.00,-2.01,3.00,-1.00,-3.00,-3.00,NA,NA,NA,NA,NA,NA
163,1,23,10,-.29|-1.10|-.22|-.22|.02|-.99|.95|.00|-1.06|.03|,negnegnegneutposnegposnegnegneg,neg,neg,neg,neut,pos,neg,pos,neg,neg,neg,NA,NA,NA,NA,NA,NA,-.29,-1.10,-.22,-.22,.02,-.99,.95,.00,-1.06,.03,NA,NA,NA,NA,NA,NA
160,1,24,10,-1.99|-2.52|-2.99|.03|2.07|.42|.06|1.01|.02|1.09|,negnegnegneutposposnegposneutpos,neg,neg,neg,neut,pos,pos,neg,pos,neut,pos,NA,NA,NA,NA,NA,NA,-1.99,-2.52,-2.99,.03,2.07,.42,.06,1.01,.02,1.09,NA,NA,NA,NA,NA,NA
86,0,24,10,-1.67|1.05|-.77|.03|3.00|3.00|-1.28|2.49|.03|.68|,negnegnegneutposposnegposneutpos,neg,neg,neg,neut,pos,pos,neg,pos,neut,pos,NA,NA,NA,NA,NA,NA,-1.67,1.05,-.77,.03,3.00,3.00,-1.28,2.49,.03,.68,NA,NA,NA,NA,NA,NA
75,0,25,10,-1.54|-2.09|-2.47|-1.76|-3.00|-2.10|-2.26|-2.12|-1.88|-1.77|,negnegnegposnegposnegpospospos,neg,neg,neg,pos,neg,pos,neg,pos,pos,pos,NA,NA,NA,NA,NA,NA,-1.54,-2.09,-2.47,-1.76,-3.00,-2.10,-2.26,-2.12,-1.88,-1.77,NA,NA,NA,NA,NA,NA
204,1,25,10,2.59|2.82|2.93|2.99|2.86|2.92|2.92|2.92|2.92|2.92|,negnegnegposnegposnegpospospos,neg,neg,neg,pos,neg,pos,neg,pos,pos,pos,NA,NA,NA,NA,NA,NA,2.59,2.82,2.93,2.99,2.86,2.92,2.92,2.92,2.92,2.92,NA,NA,NA,NA,NA,NA
100,0,25,10,-3.00|-3.00|-3.00|2.77|-3.00|2.89|-2.65|3.00|3.00|3.00|,negnegnegposnegposnegpospospos,neg,neg,neg,pos,neg,pos,neg,pos,pos,pos,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-3.00,2.77,-3.00,2.89,-2.65,3.00,3.00,3.00,NA,NA,NA,NA,NA,NA
150,1,25,10,-2.00|-2.00|-2.50|-2.50|-2.60|-2.00|-2.50|-2.00|.00|.20|,negnegnegposnegposnegpospospos,neg,neg,neg,pos,neg,pos,neg,pos,pos,pos,NA,NA,NA,NA,NA,NA,-2.00,-2.00,-2.50,-2.50,-2.60,-2.00,-2.50,-2.00,.00,.20,NA,NA,NA,NA,NA,NA
21,0,26,10,-1.10|-2.02|-2.02|1.06|-.08|.41|.41|-2.15|1.23|1.23|,negnegnegposnegposneutnegpospos,neg,neg,neg,pos,neg,pos,neut,neg,pos,pos,NA,NA,NA,NA,NA,NA,-1.10,-2.02,-2.02,1.06,-.08,.41,.41,-2.15,1.23,1.23,NA,NA,NA,NA,NA,NA
27,0,26,10,-3.00|-3.00|-2.86|2.32|-1.78|2.61|-.03|-1.03|2.40|2.40|,negnegnegposnegposneutnegpospos,neg,neg,neg,pos,neg,pos,neut,neg,pos,pos,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-2.86,2.32,-1.78,2.61,-.03,-1.03,2.40,2.40,NA,NA,NA,NA,NA,NA
59,0,27,10,-1.69|-2.46|-3.00|2.05|-1.89|2.63|.01|1.12|1.12|2.05|,negnegnegposnegposneutpospospos,neg,neg,neg,pos,neg,pos,neut,pos,pos,pos,NA,NA,NA,NA,NA,NA,-1.69,-2.46,-3.00,2.05,-1.89,2.63,.01,1.12,1.12,2.05,NA,NA,NA,NA,NA,NA
195,1,27,10,-1.07|-1.07|-1.99|2.09|-2.99|3.00|.08|2.18|3.00|1.06|,negnegnegposnegposneutpospospos,neg,neg,neg,pos,neg,pos,neut,pos,pos,pos,NA,NA,NA,NA,NA,NA,-1.07,-1.07,-1.99,2.09,-2.99,3.00,.08,2.18,3.00,1.06,NA,NA,NA,NA,NA,NA
61,0,28,10,-2.52|-2.65|-2.81|-2.81|-2.81|-2.81|-2.74|-2.84|-2.86|-2.94|,negnegnegposnegposposnegnegneg,neg,neg,neg,pos,neg,pos,pos,neg,neg,neg,NA,NA,NA,NA,NA,NA,-2.52,-2.65,-2.81,-2.81,-2.81,-2.81,-2.74,-2.84,-2.86,-2.94,NA,NA,NA,NA,NA,NA
83,0,28,10,-3.00|-3.00|-1.00|3.00|-3.00|3.00|3.00|-3.00|-3.00|-3.00|,negnegnegposnegposposnegnegneg,neg,neg,neg,pos,neg,pos,pos,neg,neg,neg,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-1.00,3.00,-3.00,3.00,3.00,-3.00,-3.00,-3.00,NA,NA,NA,NA,NA,NA
163,1,29,10,.84|.84|.96|-.29|-1.10|-.22|-.22|.02|-.99|.95|,negnegnegposnegposposposposneut,neg,neg,neg,pos,neg,pos,pos,pos,pos,neut,NA,NA,NA,NA,NA,NA,.84,.84,.96,-.29,-1.10,-.22,-.22,.02,-.99,.95,NA,NA,NA,NA,NA,NA
27,0,29,10,-2.30|-2.30|-2.77|-2.06|-2.89|-2.89|-1.46|-1.46|-.86|-.01|,negnegnegposnegposposposposneut,neg,neg,neg,pos,neg,pos,pos,pos,pos,neut,NA,NA,NA,NA,NA,NA,-2.30,-2.30,-2.77,-2.06,-2.89,-2.89,-1.46,-1.46,-.86,-.01,NA,NA,NA,NA,NA,NA
134,1,30,10,3.00|3.00|.02|3.00|3.00|-3.00|.02|2.89|2.89|-3.00|,negnegnegposneutnegposnegnegneg,neg,neg,neg,pos,neut,neg,pos,neg,neg,neg,NA,NA,NA,NA,NA,NA,3.00,3.00,.02,3.00,3.00,-3.00,.02,2.89,2.89,-3.00,NA,NA,NA,NA,NA,NA
181,1,30,10,2.30|-.30|-1.50|1.20|1.20|1.81|2.30|-1.30|-2.40|-2.80|,negnegnegposneutnegposnegnegneg,neg,neg,neg,pos,neut,neg,pos,neg,neg,neg,NA,NA,NA,NA,NA,NA,2.30,-.30,-1.50,1.20,1.20,1.81,2.30,-1.30,-2.40,-2.80,NA,NA,NA,NA,NA,NA
